,mean_abs_shap
us_aqi_t,15.654455839088856
wind_rmean24_f_h24,4.039558553365586
pm2_5_delta24_t,1.8148020970810308
us_aqi_lag168_t,1.8132961719566894
dew_point_2m_f_h24,1.44566323550679
doy_cos_f_h24,1.4273344183188794
us_aqi_lag48_t,1.308053393404413
temp_rmean24_f_h24,1.086333742338011
pm25_pm10_ratio_t,1.035039961056723
pm2_5_lag1_t,0.9127335507636033
ozone_r8h_t,0.8805906032228838
us_aqi_lag72_t,0.8262674078661215
hour_sin_f_h24,0.8193849229990066
temp_rmean72_f_h24,0.8183966061834959
precip_rsum48_f_h24,0.8100546725215316
us_aqi_rmean168_t,0.7654564763805579
us_aqi_rmin72_t,0.7254619936525981
sulphur_dioxide_delta24_t,0.7167283976071025
us_aqi_lag24_t,0.6840918008887997
us_aqi_rmax24_t,0.6765639374993607
pm10_delta24_t,0.6584050934095799
us_aqi_rmax72_t,0.6001178580188036
pm10_r24h_t,0.5498243919359771
precip_rsum72_f_h24,0.5025294488172598
dust_delta24_t,0.4754363024515837
temp_rmean48_f_h24,0.46901627923970074
aerosol_optical_depth_delta24_t,0.4565977774327184
wind_dir_sin_f_h24,0.45232581531883076
pm2_5_r24h_t,0.44858478513871414
ozone_lag1_t,0.430853800665877
precip_rsum24_f_h24,0.41589348254346903
us_aqi_delta24_t,0.4120246150779519
wind_rmean48_f_h24,0.39879210232735446
us_aqi_rmean24_t,0.38389473857984296
temperature_2m_f_h24,0.3800637239187517
us_aqi_delta3_t,0.3414371783258749
doy_sin_f_h24,0.3370107679903492
wind_rmean72_f_h24,0.3358398405389202
aerosol_optical_depth_lag24_t,0.32061979434740046
cloud_cover_f_h24,0.31791803336203245
carbon_monoxide_lag1_t,0.31278205141678983
us_aqi_rstd24_t,0.3066993654942513
pm10_lag24_t,0.28171615943390893
aerosol_optical_depth_lag1_t,0.2799527269206173
carbon_monoxide_delta24_t,0.2500914393123196
sulphur_dioxide_lag1_t,0.237325775092046
ozone_delta24_t,0.23530646961843676
us_aqi_anomaly_vs_72h_t,0.22031687728294203
sulphur_dioxide_r24h_t,0.21524981115800576
relative_humidity_2m_f_h24,0.2141032972599002
surface_pressure_f_h24,0.20475491743449342
dayofweek_f_h24,0.19844117443772707
dew_spread_f_h24,0.1939430497954846
us_aqi_delta6_t,0.18285773517729378
pm10_lag1_t,0.15897667824026027
pm2_5_lag24_t,0.14386620900028968
wind_dir_cos_f_h24,0.12729203386180918
us_aqi_delta72_t,0.12146588145162247
us_aqi_rstd72_t,0.1077023113242202
month_f_h24,0.10423274048547816
us_aqi_rmean72_t,0.09908614288194496
nitrogen_dioxide_t,0.09457651837283652
sulphur_dioxide_lag24_t,0.08987941332964537
us_aqi_rmin24_t,0.07169189607072952
us_aqi_lag1_t,0.06521363730316893
nitrogen_dioxide_delta24_t,0.05903442406027847
shortwave_radiation_f_h24,0.05681644669785286
wind_gusts_10m_f_h24,0.04500547562008448
ozone_lag24_t,0.03712625490444531
us_aqi_rmean3_t,0.035675130455346114
us_aqi_lag12_t,0.034430993737687834
us_aqi_lag3_t,0.03046234644040797
precipitation_f_h24,0.02374828763597276
us_aqi_rmean6_t,0.023287120094609766
hour_cos_f_h24,0.022801160116261154
dust_lag24_t,0.021305334226739924
hour_f_h24,0.02084664722816362
us_aqi_lag6_t,0.01991156391106414
nitrogen_dioxide_lag1_t,0.01661875250655427
wind_speed_10m_f_h24,0.012539594217014071
carbon_monoxide_r8h_t,0.009866808787478271
dust_lag1_t,0.007633405285464674
nitrogen_dioxide_lag24_t,0.006571043835023975
us_aqi_rate3_t,0.0
us_aqi_rate6_t,0.0
us_aqi_rate24_t,0.0
us_aqi_lag2_t,0.0
us_aqi_rate72_t,0.0
us_aqi_same_hour_yesterday_t,0.0
carbon_monoxide_lag24_t,0.0
is_weekend_f_h24,0.0
