,winter,summer
us_aqi_t,6.787721439984691,3.9892927126031186
us_aqi_lag1_t,0.5225151091457848,0.43902796056647087
us_aqi_lag2_t,0.027829829991101212,0.010434539313065372
us_aqi_lag3_t,0.04824421952920131,0.06765071721327907
us_aqi_lag6_t,0.09275442174706326,0.04926773557161023
us_aqi_lag12_t,0.12590059952906885,0.07552279138063138
us_aqi_lag24_t,2.037623948765942,0.8634896277578255
us_aqi_lag48_t,1.708311942972509,0.9542641721524706
us_aqi_lag72_t,1.1103025941924751,1.1170126718420723
us_aqi_lag168_t,0.5136430623331868,0.8014766172007509
us_aqi_rmean3_t,0.9548520961320724,0.5208848920119445
us_aqi_rmean6_t,0.03129477640547139,0.053306229260093325
us_aqi_rmean24_t,0.23818644491324878,0.14846168257060807
us_aqi_rmean72_t,1.024984347696799,1.0146030156587298
us_aqi_rmean168_t,3.656599405315293,2.9570936239945285
us_aqi_rstd24_t,0.0940985711732233,0.16075377994336568
us_aqi_rmax24_t,0.2585575617927009,0.5839336969475996
us_aqi_rmin24_t,0.7262987100270644,0.42595567514519944
us_aqi_rstd72_t,0.8993532615448858,0.6461939687427718
us_aqi_rmax72_t,1.155316889675489,2.338712586734171
us_aqi_rmin72_t,1.297260372999652,0.9894313234429611
us_aqi_delta3_t,0.09083593519560397,0.20184284736231753
us_aqi_rate3_t,0.012227758848334564,0.022844559960616143
us_aqi_delta6_t,0.1634895821586549,0.6939548880727668
us_aqi_rate6_t,0.09144312615413583,0.34241216775994565
us_aqi_delta24_t,0.21019118878945858,0.16458585474114676
us_aqi_rate24_t,0.0739366743574104,0.05924904178820147
us_aqi_delta72_t,0.15768140226721275,0.23402563811854282
us_aqi_rate72_t,0.06272435608138115,0.10225056504701326
us_aqi_same_hour_yesterday_t,0.4685810233777264,0.18264202812596378
us_aqi_anomaly_vs_72h_t,0.21957632766776797,0.4293646098086712
pm2_5_r24h_t,0.4018972862004279,0.3456197830400969
pm10_r24h_t,0.22868128482089092,0.2869690478977409
ozone_r8h_t,0.45220249719353833,1.0315284757915288
nitrogen_dioxide_t,0.002471679349344637,0.002591563877306458
sulphur_dioxide_r24h_t,3.427250324311959,0.9400337722276371
carbon_monoxide_r8h_t,0.10837408842793522,0.16403955838052842
pm2_5_lag1_t,0.05248405477440217,0.04305494653802171
pm2_5_lag24_t,0.10360324456872202,0.08122071117601885
pm2_5_delta24_t,0.05870697257053342,0.04809402369449026
pm10_lag1_t,0.35423705777324055,0.4870969757682399
pm10_lag24_t,0.18789836490296713,0.17380879480462325
pm10_delta24_t,0.05188373168626155,0.06552158349689671
ozone_lag1_t,0.11824820980132823,0.13819453416121663
ozone_lag24_t,0.20049353584350282,0.1487249831952546
ozone_delta24_t,0.018928067902644567,0.03241489958512159
nitrogen_dioxide_lag1_t,0.018767402770509783,0.02458720488297315
nitrogen_dioxide_lag24_t,0.03971448203956955,0.031753816102680466
nitrogen_dioxide_delta24_t,0.07338579139861456,0.06590381332196692
sulphur_dioxide_lag1_t,0.13682339871547153,0.1858320880889895
sulphur_dioxide_lag24_t,0.14766168043432942,0.050438277455380535
sulphur_dioxide_delta24_t,0.04101973223971159,0.030298106625205715
carbon_monoxide_lag1_t,0.015435772189106087,0.007220759582519454
carbon_monoxide_lag24_t,0.05203285602934339,0.07220034111424518
carbon_monoxide_delta24_t,0.02157641733785072,0.015474939366390954
dust_lag1_t,0.06789302714792385,0.3071164756172586
dust_lag24_t,0.17239225034219824,0.2891296003442067
dust_delta24_t,0.3007890179052769,0.631520184426557
aerosol_optical_depth_lag1_t,0.890765477395153,0.25290063299881743
aerosol_optical_depth_lag24_t,1.1071355570360022,0.4260735890639453
aerosol_optical_depth_delta24_t,0.29971250250994924,0.11809670898035952
pm25_pm10_ratio_t,0.9834132863990807,2.4024620163666586
temperature_2m_f_h72,1.4426572140089535,0.8710028750570202
relative_humidity_2m_f_h72,0.3693027549150929,0.3997076296956913
dew_point_2m_f_h72,9.49533800417684,1.603011177042909
precipitation_f_h72,0.0204713994478324,0.007639826945254698
surface_pressure_f_h72,0.21902931201030523,0.41527351505881815
cloud_cover_f_h72,0.36412615705771284,0.46601735175283354
wind_speed_10m_f_h72,0.017008100296871585,0.01565328031841064
wind_gusts_10m_f_h72,0.08450566200621103,0.10157243991651038
shortwave_radiation_f_h72,0.09456775479107751,0.18026507540251127
wind_dir_sin_f_h72,0.5801262826653587,0.2901827038815143
wind_dir_cos_f_h72,0.002369121479323163,0.006660849802117575
wind_rmean24_f_h72,1.3853808541316939,1.6380267928073284
precip_rsum24_f_h72,1.275091495931862,0.8879338732769624
temp_rmean24_f_h72,3.300944645784768,2.7462845591494878
wind_rmean48_f_h72,3.624562870202312,3.578908376513027
precip_rsum48_f_h72,1.1651089664379437,0.7798230401089318
temp_rmean48_f_h72,4.912938555854244,3.896432222607263
wind_rmean72_f_h72,1.3664831745672033,1.942951350513257
precip_rsum72_f_h72,3.1558929285490183,0.6782446390051596
temp_rmean72_f_h72,1.9611643249200172,2.985673013406047
dew_spread_f_h72,0.12222895360087994,0.13300320281982414
hour_sin_f_h72,1.733120265652935,4.08954407619677
hour_cos_f_h72,0.385328813492064,0.4711283291666136
doy_sin_f_h72,8.551593761349103,4.245599710083012
doy_cos_f_h72,11.978564851844455,0.9505603701942841
hour_f_h72,0.3277240713089116,0.7876698431115404
month_f_h72,1.0586275960629665,0.07820097730536196
dayofweek_f_h72,0.21955285855023476,0.4015159134714227
is_weekend_f_h72,0.06808488289198558,0.058874353709973945
