,winter,summer
us_aqi_t,18.39785692504676,14.245412042346587
us_aqi_lag1_t,0.0655197469261448,0.05728972695875382
us_aqi_lag2_t,0.0,0.0
us_aqi_lag3_t,0.01217658383958001,0.07441843243677544
us_aqi_lag6_t,0.015483289748547546,0.018564796923182247
us_aqi_lag12_t,0.037275323229654926,0.023315740434416143
us_aqi_lag24_t,0.6951037490552052,0.5561275616558987
us_aqi_lag48_t,1.6463354310882221,1.2295166415079506
us_aqi_lag72_t,1.1848886676014219,0.729031651891396
us_aqi_lag168_t,2.008011202609545,1.80429742500664
us_aqi_rmean3_t,0.012977364735879342,0.04138738002518904
us_aqi_rmean6_t,0.021354881134799452,0.01701135201577362
us_aqi_rmean24_t,0.35457550688039086,0.429126043856546
us_aqi_rmean72_t,0.10283612809574477,0.08171618675369301
us_aqi_rmean168_t,0.7501401578244192,0.8092695598369138
us_aqi_rstd24_t,0.4180832478399809,0.24732798120891208
us_aqi_rmax24_t,0.4401025715962256,0.935268303341112
us_aqi_rmin24_t,0.10202870206884304,0.08792917897008444
us_aqi_rstd72_t,0.11689966106704444,0.12502639177797634
us_aqi_rmax72_t,0.3272940683897359,0.9677901192864713
us_aqi_rmin72_t,0.8336676830148003,0.6418456501732592
us_aqi_delta3_t,0.1897788549439213,0.4618975774482487
us_aqi_rate3_t,0.0,0.0
us_aqi_delta6_t,0.14678852860007838,0.25419081441058816
us_aqi_rate6_t,0.0,0.0
us_aqi_delta24_t,0.5486210321872478,0.45904700914548047
us_aqi_rate24_t,0.0,0.0
us_aqi_delta72_t,0.2048471965611929,0.09704393326623653
us_aqi_rate72_t,0.0,0.0
us_aqi_same_hour_yesterday_t,0.0,0.0
us_aqi_anomaly_vs_72h_t,0.19746861611669406,0.2906468222225181
pm2_5_r24h_t,0.6045947993081932,0.37441338793928797
pm10_r24h_t,0.35684798002328233,0.5987668688112004
ozone_r8h_t,0.49904208381799525,1.177303031504267
nitrogen_dioxide_t,0.07816136237834982,0.11587367959323247
sulphur_dioxide_r24h_t,0.1595994716653532,0.15475233953675804
carbon_monoxide_r8h_t,0.012934949643419359,0.011473197171538245
pm2_5_lag1_t,0.9020914079673529,0.811521223446634
pm2_5_lag24_t,0.21066347104616803,0.15677281546967817
pm2_5_delta24_t,1.9773822162781343,2.0807764492609837
pm10_lag1_t,0.1790547569231625,0.12413750827495373
pm10_lag24_t,0.26780468106197974,0.2638063028154461
pm10_delta24_t,0.6246968779328985,0.7237655596698882
ozone_lag1_t,0.4652061755955237,0.4104655484120627
ozone_lag24_t,0.04718027060778153,0.03165146843162974
ozone_delta24_t,0.19891895820863034,0.281321533122729
nitrogen_dioxide_lag1_t,0.019165050950526452,0.018608392901116932
nitrogen_dioxide_lag24_t,0.002412571473943672,0.011218924983771007
nitrogen_dioxide_delta24_t,0.05430498038373518,0.0782798037728475
sulphur_dioxide_lag1_t,0.2090976951018085,0.22121749173590483
sulphur_dioxide_lag24_t,0.08480575103486442,0.09150503696243457
sulphur_dioxide_delta24_t,0.9600744092929435,0.5212018414718403
carbon_monoxide_lag1_t,0.34504166523580204,0.2566664567733364
carbon_monoxide_lag24_t,0.0,0.0
carbon_monoxide_delta24_t,0.24136751551877134,0.30189480130829327
dust_lag1_t,0.008851847572714781,0.006693949874433744
dust_lag24_t,0.016224102887807738,0.02450812719748646
dust_delta24_t,0.4598720845473588,0.47146397854991323
aerosol_optical_depth_lag1_t,0.20462141223565058,0.24146674730460443
aerosol_optical_depth_lag24_t,0.47520511413867145,0.18501751897632784
aerosol_optical_depth_delta24_t,0.5141096910566663,0.3619002868618672
pm25_pm10_ratio_t,1.151849312551425,0.9875175001390647
temperature_2m_f_h24,0.3178656833275806,0.4351532373178891
relative_humidity_2m_f_h24,0.20752081114534207,0.19468466150341837
dew_point_2m_f_h24,1.5176007289496203,1.6510302425072383
precipitation_f_h24,0.0347853695841658,0.020075591716624454
surface_pressure_f_h24,0.38166096892402945,0.18611249031427324
cloud_cover_f_h24,0.14754705470792168,0.4834052292504022
wind_speed_10m_f_h24,0.00959258934466482,0.015892772062756612
wind_gusts_10m_f_h24,0.04316792542440455,0.046603751376741956
shortwave_radiation_f_h24,0.023470293548970313,0.07893843477408034
wind_dir_sin_f_h24,0.5250287603375449,0.41405569929484226
wind_dir_cos_f_h24,0.13489107192955105,0.1327449234042407
wind_rmean24_f_h24,4.641854814403153,3.7610217118793785
precip_rsum24_f_h24,0.348772015684109,0.6652928909520409
temp_rmean24_f_h24,0.96969781606686,1.8100130048277279
wind_rmean48_f_h24,0.4811713588184233,0.43434271356655363
precip_rsum48_f_h24,1.242184313821179,0.6899268211764676
temp_rmean48_f_h24,0.15617633997237998,1.0235296486639618
wind_rmean72_f_h24,0.44669908552005144,0.159909822360315
precip_rsum72_f_h24,0.6470082311832519,0.43532377822901736
temp_rmean72_f_h24,1.3042829839996923,0.8577011025040893
dew_spread_f_h24,0.16310090120567494,0.20794622738203228
hour_sin_f_h24,0.44145273868512874,1.1379374274711074
hour_cos_f_h24,0.018247241661676253,0.027951625403040175
doy_sin_f_h24,0.29430340544850014,0.3223951393232647
doy_cos_f_h24,2.4068855076925972,1.0675213448357335
hour_f_h24,0.026192313824520325,0.0156735739170534
month_f_h24,0.20686129580980392,0.08354097341782
dayofweek_f_h24,0.1849238643779303,0.22470768857228296
is_weekend_f_h24,0.0,0.0
