horizon,arch,RMSE,MAE,R2,persist_RMSE,gain_%,recall,precision,params
24,gru,13.98,10.66,0.795,16.23,13.9,0.67,0.86,26849
48,gru,17.75,13.54,0.668,21.38,17.0,0.7,0.82,26849
72,gru,20.97,16.16,0.536,24.4,14.1,0.66,0.7,26849
