,mean_abs_shap
dew_point_2m_f_h72,5.611346906838394
doy_sin_f_h72,4.975849400146
us_aqi_t,4.741569565410612
doy_cos_f_h72,4.722616426873201
temp_rmean48_f_h72,3.6701884896302213
wind_rmean48_f_h72,3.2417260984754623
hour_sin_f_h72,3.1586410917329713
us_aqi_rmean168_t,3.134431064348216
temp_rmean24_f_h72,2.953616881365773
sulphur_dioxide_r24h_t,2.307500664908889
pm25_pm10_ratio_t,2.0610665263390544
wind_rmean72_f_h72,1.8588590798187252
temp_rmean72_f_h72,1.851623568043707
precip_rsum72_f_h72,1.6828848825836173
us_aqi_rmax72_t,1.3813616778039923
wind_rmean24_f_h72,1.3651509617996225
precip_rsum24_f_h72,1.2731664588856688
us_aqi_rmin72_t,1.249554189043044
temperature_2m_f_h72,1.2114657230782493
us_aqi_lag24_t,1.1360129648256285
us_aqi_lag72_t,1.0679378977680207
us_aqi_lag48_t,1.020806706295013
precip_rsum48_f_h72,0.9100152127170562
ozone_r8h_t,0.8316368785929673
us_aqi_rmean72_t,0.8296419000077226
aerosol_optical_depth_lag24_t,0.7993465039157871
us_aqi_rstd72_t,0.7379197748756394
us_aqi_lag168_t,0.6946752954959878
us_aqi_rmean3_t,0.6477196923542028
aerosol_optical_depth_lag1_t,0.6328770283555986
hour_f_h72,0.5956797649717318
dust_delta24_t,0.5502865629267701
us_aqi_rmin24_t,0.4981100395894064
month_f_h72,0.48485547470331347
hour_cos_f_h72,0.46724343614101427
us_aqi_lag1_t,0.46049480404377086
relative_humidity_2m_f_h72,0.4464412714195251
wind_dir_sin_f_h72,0.4445546215152752
pm10_lag1_t,0.43851793077468737
cloud_cover_f_h72,0.4091220550823205
us_aqi_delta6_t,0.39698342533588343
pm2_5_r24h_t,0.37571382681608184
us_aqi_rmax24_t,0.3549850450873376
us_aqi_anomaly_vs_72h_t,0.35141842274904184
dayofweek_f_h72,0.2841177273559567
us_aqi_same_hour_yesterday_t,0.24504172239303593
pm10_r24h_t,0.23335354258537314
surface_pressure_f_h72,0.22966382375240346
sulphur_dioxide_lag1_t,0.21942502678632692
dust_lag24_t,0.21439933962821944
aerosol_optical_depth_delta24_t,0.20309130704164507
us_aqi_rate6_t,0.20091352047205013
us_aqi_delta72_t,0.19682142785787546
pm10_lag24_t,0.17786435927391053
dust_lag1_t,0.17776054713964476
us_aqi_delta24_t,0.17017125180244466
us_aqi_rmean24_t,0.16865224348545094
us_aqi_delta3_t,0.16575981917381288
carbon_monoxide_r8h_t,0.15966258327007257
ozone_lag24_t,0.15705967524766978
shortwave_radiation_f_h72,0.15147891646146808
dew_spread_f_h72,0.1433652216434476
us_aqi_rstd24_t,0.11507625958681085
ozone_lag1_t,0.1074578632855419
sulphur_dioxide_lag24_t,0.09952856742382027
wind_gusts_10m_f_h72,0.09110818360328689
us_aqi_lag12_t,0.08639510645866433
nitrogen_dioxide_delta24_t,0.07676977024078378
us_aqi_rate72_t,0.075643931787014
pm2_5_lag24_t,0.07320580909490593
pm10_delta24_t,0.06375329383134849
us_aqi_lag6_t,0.061953131554126656
is_weekend_f_h72,0.060095493357181534
us_aqi_rate24_t,0.05939828460454959
carbon_monoxide_lag24_t,0.055522873702049357
pm2_5_delta24_t,0.05027280232906342
pm2_5_lag1_t,0.04752016747713098
us_aqi_lag3_t,0.04635892420530311
us_aqi_rmean6_t,0.039611555519104044
nitrogen_dioxide_lag24_t,0.036754813609123374
sulphur_dioxide_delta24_t,0.0327948663043976
ozone_delta24_t,0.02516261051893235
nitrogen_dioxide_lag1_t,0.02087087165594109
us_aqi_rate3_t,0.016250815196037195
us_aqi_lag2_t,0.015955814151763885
carbon_monoxide_delta24_t,0.015262627515792842
wind_speed_10m_f_h72,0.013071696622371658
precipitation_f_h72,0.012626754288673396
carbon_monoxide_lag1_t,0.011984802813529854
wind_dir_cos_f_h72,0.004618532061576862
nitrogen_dioxide_t,0.0034330918073654216
